PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
22.0,24.0,29.8,86.0,94.1,29.48,26.77734
27.0,31.0,27.4,85.0,94.3,29.93,29.92378
12.0,14.0,26.9,86.0,99.8,29.77,28.703
18.0,20.0,27.9,93.0,100.0,30.06,24.31996
17.0,19.0,31.7,89.0,97.2,31.66,22.70563
27.0,30.0,34.9,82.0,90.8,33.11,24.85972
19.0,21.0,34.9,72.0,81.1,33.57,25.03169
22.0,25.0,34.8,72.0,78.47,30.81,22.26445
25.0,28.0,26.8,76.0,84.8,29.62,26.93057
29.0,32.0,26.6,87.0,99.9,29.7,29.28063
31.0,35.0,27.1,99.0,100.0,29.9,22.19359
26.0,29.0,31.3,95.0,98.6,30.76,21.83023
21.0,23.0,33.3,82.0,95.3,31.36,19.62201
14.0,16.0,33.2,78.5,93.7,31.81,15.49169
13.0,14.0,32.4,70.0,90.3,32.4,13.73462
9.0,10.0,32.6,67.0,89.0,32.46,10.93019
9.0,10.0,31.6,67.0,89.8,32.11,10.41014
7.0,8.0,30.4,69.0,89.3,32.0,8.477735
9.0,10.0,32.2,67.0,89.0,32.27,7.673677
5.0,5.0,31.8,74.0,95.6,30.84,7.559587
8.0,9.0,25.9,82.0,99.8,29.79,9.879419
12.0,13.0,26.7,94.0,100.0,30.09,12.12031
11.0,12.0,29.3,84.0,95.1,31.86,11.6423
15.0,17.0,31.2,76.0,89.2,32.5,14.25807
6.5,6.5,32.6,69.0,84.5,33.24,8.954593
5.0,5.0,32.6,68.0,85.0,33.27,7.264084
6.0,6.0,32.1,65.0,84.0,32.86,7.455857
5.0,5.0,30.9,65.0,85.5,32.28,6.18937
3.0,4.0,30.8,73.0,93.1,31.72,5.939758
5.0,6.0,26.9,84.0,99.9,30.27,7.047459
4.0,4.0,23.5,84.0,99.6,29.22,6.195667
9.0,10.0,25.5,92.0,100.0,30.11,10.1592
8.0,9.0,27.3,83.0,94.1,31.36,8.358594
8.0,9.0,30.0,78.0,87.2,32.01,9.234193
8.0,9.0,30.0,74.0,86.4,32.72,9.156576
8.0,9.0,31.1,69.0,82.5,32.89,8.485286
4.0,4.0,31.25,66.0,82.0,32.91,7.113199
5.0,6.0,30.0,67.0,82.9,32.63,7.446732
5.0,5.0,29.9,69.0,87.9,32.17,6.894292
5.0,5.0,29.9,73.0,93.8,31.19,6.801832
6.0,6.0,26.3,83.0,97.8,29.96,7.886654
