PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
4.0,4.0,25.7,82.0,97.7,28.33,8.971627
5.0,5.0,25.7,83.0,97.8,28.35,9.079402
4.0,4.0,25.7,83.0,97.9,28.39,9.040086
5.0,5.0,25.7,83.0,98.4,28.4,9.073803
5.0,6.0,25.7,82.0,98.3,28.44,9.09593
5.0,5.0,25.7,83.0,97.5,28.38,9.049017
4.0,4.0,25.6,83.0,97.8,28.32,9.012565
4.0,4.0,25.6,83.0,98.3,28.32,9.046494
5.0,5.0,25.6,83.0,97.9,28.33,8.957416
4.0,4.0,25.5,83.0,97.9,28.31,8.871243
4.0,4.0,25.5,83.0,97.9,28.28,8.780812
4.0,4.0,25.5,83.0,98.0,28.25,8.659581
5.0,5.0,25.5,83.0,97.9,28.22,8.569311
5.0,5.0,25.5,83.0,98.2,28.17,8.440824
4.0,4.0,25.5,83.0,98.3,28.18,8.517543
3.0,3.0,25.5,83.0,98.5,28.16,8.543363
4.0,4.0,25.4,84.0,98.7,28.15,8.606404
5.0,5.0,25.4,83.0,99.3,28.11,8.783769
4.0,5.0,25.3,83.0,98.8,28.01,8.856364
4.0,4.0,25.3,83.0,99.0,27.98,8.874791
5.0,5.0,25.3,84.0,99.0,28.02,8.915553
5.0,5.0,25.2,85.0,99.0,28.09,8.929511
4.0,4.0,25.2,85.0,98.8,28.11,8.974326
6.0,6.0,25.1,84.0,98.7,28.07,8.913808
3.0,5.0,25.1,84.0,98.3,28.08,8.87697
5.0,5.0,25.0,85.0,98.5,28.09,8.836223
4.0,5.0,25.0,85.0,98.8,28.09,8.827229
4.0,4.0,25.0,86.0,98.7,28.1,8.787057
3.0,4.0,25.0,86.0,98.5,28.09,8.724952
5.0,5.0,25.0,86.0,98.4,28.07,8.755718
4.0,4.0,25.0,85.0,98.1,28.03,8.771326
4.0,4.0,24.9,85.0,98.0,28.01,8.803996
4.0,4.0,24.9,86.0,98.2,28.0,8.811427
4.0,4.0,24.9,86.0,98.5,27.97,8.941524
4.0,4.0,24.9,86.0,99.0,27.97,9.057108
5.0,6.0,24.9,86.0,99.2,27.96,9.127656
4.0,4.0,24.9,86.0,99.7,27.9,9.017673
6.0,6.0,25.4,84.0,99.8,28.27,8.553578
5.0,5.0,25.4,84.0,99.5,28.4,8.5049
4.0,4.0,25.5,83.0,98.7,28.5,8.41718
3.0,3.0,25.6,83.0,98.9,28.71,8.345012
3.0,3.0,25.7,83.0,97.4,28.77,8.331735
4.0,4.0,25.8,83.0,97.0,28.78,8.362643
3.0,3.0,26.0,82.0,97.5,28.67,8.320399
4.0,4.0,26.2,81.0,98.3,28.73,8.270255
4.0,4.0,26.3,81.0,97.2,28.8,8.274947
3.0,3.0,26.5,81.0,97.2,28.72,8.298407
4.0,4.0,26.8,80.0,97.8,28.72,8.298407
4.0,4.0,27.0,80.0,97.6,28.7,8.309997
4.0,4.0,27.2,79.0,98.9,28.62,8.334013
4.0,4.0,27.5,79.0,99.0,28.65,8.335214
4.0,4.0,27.7,78.0,99.4,28.73,8.342882
5.0,5.0,27.8,76.0,98.3,28.71,8.347575
5.0,5.0,27.9,77.0,98.7,28.69,8.304066
4.0,4.0,28.0,76.0,98.2,28.7,8.295184
5.0,6.0,28.0,76.0,97.3,28.62,8.308348
4.0,4.0,28.0,76.0,97.6,28.56,8.298903
4.0,4.0,28.0,77.0,98.3,28.57,8.289458
4.0,4.0,28.0,76.0,97.7,28.55,8.279495
2.0,2.0,28.0,77.0,97.1,28.53,8.269532
4.0,4.0,28.0,76.0,96.7,28.53,8.269532
4.0,4.0,28.0,76.0,96.7,28.57,8.269532
